  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1A GL2-C1B C1A-C2A C2A-C3A C3A-C4A C1B-C2B C2B-C3B C3B-C4B
-----------------------------------------------------------------------------------------------
      0  -0.116   0.620  -0.170   0.493   0.524   0.581   0.500   0.372   0.574   0.511   0.276
      1  -0.167   0.579  -0.209   0.457   0.481   0.559   0.383   0.283   0.515   0.445   0.197
      2  -0.151   0.605  -0.272   0.435   0.549   0.524   0.439   0.338   0.521   0.384   0.281
      3  -0.107   0.592  -0.146   0.450   0.442   0.544   0.458   0.358   0.499   0.345   0.230
      4  -0.109   0.599  -0.223   0.502   0.543   0.587   0.484   0.301   0.590   0.449   0.291
      5  -0.156   0.599  -0.255   0.422   0.498   0.467   0.393   0.296   0.447   0.338   0.254
      6  -0.053   0.568  -0.207   0.509   0.514   0.548   0.521   0.383   0.562   0.464   0.319
      7  -0.126   0.593  -0.194   0.381   0.461   0.468   0.497   0.321   0.498   0.421   0.321
      8  -0.047   0.593  -0.233   0.535   0.488   0.516   0.475   0.336   0.475   0.394   0.275
      9  -0.178   0.615  -0.249   0.487   0.451   0.486   0.443   0.338   0.496   0.387   0.322
     10  -0.145   0.605  -0.214   0.475   0.497   0.580   0.465   0.278   0.535   0.427   0.307
     11  -0.195   0.576  -0.208   0.460   0.540   0.519   0.542   0.308   0.546   0.429   0.344
     12  -0.171   0.592  -0.189   0.446   0.548   0.475   0.418   0.337   0.534   0.451   0.290
     13  -0.035   0.590  -0.188   0.385   0.538   0.481   0.377   0.290   0.441   0.358   0.236
     14  -0.138   0.574  -0.206   0.448   0.467   0.551   0.393   0.272   0.475   0.381   0.209
     15  -0.093   0.541  -0.180   0.412   0.445   0.498   0.383   0.272   0.428   0.431   0.241
     16  -0.169   0.619  -0.247   0.432   0.497   0.479   0.418   0.219   0.457   0.388   0.202
     17  -0.062   0.591  -0.202   0.416   0.544   0.491   0.436   0.289   0.563   0.449   0.319
     18  -0.080   0.618  -0.247   0.521   0.497   0.538   0.480   0.283   0.526   0.438   0.321
     19  -0.165   0.634  -0.209   0.402   0.550   0.588   0.487   0.261   0.439   0.404   0.268
     20  -0.092   0.590  -0.202   0.435   0.509   0.549   0.455   0.339   0.531   0.460   0.288
     21  -0.144   0.595  -0.182   0.467   0.505   0.485   0.411   0.264   0.434   0.398   0.267
     22  -0.070   0.579  -0.217   0.453   0.413   0.555   0.455   0.252   0.476   0.368   0.351
     23  -0.126   0.592  -0.241   0.400   0.498   0.487   0.454   0.298   0.451   0.451   0.301
     24  -0.070   0.559  -0.173   0.412   0.495   0.485   0.400   0.261   0.478   0.391   0.313
     25  -0.103   0.597  -0.204   0.487   0.511   0.546   0.494   0.308   0.517   0.405   0.288
-----------------------------------------------------------------------------------------------
average  -0.118   0.593  -0.210   0.451   0.500   0.523   0.448   0.302   0.500   0.414   0.281
Abs average order parameters for carbon chains <Sn> =    0.427 

